"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"126","Emanuel","Wilson","GBP",449,557,9,110.1,359.2,NA
"127","Tony","Jones","FA",568,546,9,116.63,344,6.901503
"128","Patrick","Ricard","BAL",571,547,9,128.33,347.5,6.530853
"129","Zach","Evans","LAR",547,552,9,73.86,252.45,4.551582
"130","Dwayne","Washington","FA",463,563,9,137,NA,NA
"131","Jaleel","McLaughlin","DEN",561,555,9,102.58,336.71,4.329192
"132","Emari","Demercado","ARI",550,559,9,110.36,357,2.779875
"133","Mike","Boone","HOU",570,558,9,106.67,356.56,3.788043
"134","Chase","Brown","CIN",554,564,9,72.51,246.04,1.971858
"135","Evan","Hull","IND",564,562,9,68.74,226.59,2.498181
"136","Demetric","Felton","FA",575,560,9,119.08,349.8,3.92889
"137","Demetric","Felton","FA",575,560,9,146.2,349.8,3.92889
"138","Keith","Smith","ATL",576,561,9,132.33,NA,3.624957
"139","Jake","Funk","FA",517,567,9,NA,NA,NA
"140","Ronnie","Rivers","LAR",578,565,9,111.86,352.25,3.11346
"141","Roschon","Johnson","CHI",538,568,9,51.44,147.24,0.207564
"142","Godwin","Igwebuike","FA",545,569,9,141,NA,NA
"143","Chris","Brooks","MIA",557,570,9,111.33,351.8,NA
"144","Adam","Prentice","NOS",580,566,9,135.17,NA,2.031162
"145","John","Kelly","FA",559,571,9,130.75,NA,NA
"146","Deneric","Prince","FA",565,573,9,94.06,312.5,NA
"147","Andrew","Beck","HOU",567,576,9,103.8,NA,NA
"148","Keaton","Mitchell","BAL",574,572,9,110.74,348.91,0.800604
"149","Michael","Burton","DEN",579,574,9,132.11,NA,0.704235
"150","Tyler","Badie","FA",572,579,9,118.69,340,NA
"151","Jakob","Johnson","LVR",585,575,9,133.82,NA,0.748713
"152","Sean","Tucker","TBB",586,577,9,78.97,268.5,0.770952
"153","Kirk","Merritt","NOS",577,580,9,202,NA,0.140847
"154","Nick","Bellore","SEA",587,578,9,NA,NA,0.585627
"155","Eric","Gray","NYG",573,582,9,89.64,310.63,NA
"156","Kenny","McIntosh","SEA",582,581,9,98.12,329.62,0.207564
"157","Giovanni","Ricci","CAR",583,583,9,91.9,NA,NA
"158","Jason","Cabinda","DET",584,584,9,NA,NA,NA
"159","Avery","Williams","ATL",588,586,9,126,384,NA
"160","Khari","Blasingame","CHI",589,587,9,134,NA,NA
"161","Hunter","Luepke","DAL",590,588,9,118.2,NA,NA
"162","Ty'Son","Williams","FA",590,588,9,126.6,NA,NA
"163","Israel","Abanikanda","NYJ",592,585,9,78.36,266.41,0.133434
"164","Nick","Bawden","NYJ",591,589,9,150.67,NA,NA
