"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"116","Skyy","Moore","SFO",466,428,19,163.4,NA,17.427963
"117","Robert","Woods","PIT",482,430,19,128.3,321.07,18.695586
"118","D.J.","Chark","FA",415,491,19,138.33,NA,NA
"119","Parker","Washington","JAC",419,493,19,107.63,301.06,NA
"120","Tai","Felton","MIN",426,495,19,116.71,317.88,NA
"121","Chimere","Dike","TEN",437,498,20,120.39,332.88,NA
"122","Zay","Jones","ARI",479,463,20,125.74,338.09,12.980163
"123","Jahan","Dotson","PHI",496,448,20,124.54,343.75,19.266387
"124","Van","Jefferson","TEN",474,477,20,124.26,329.17,10.704372
"125","Terrace","Marshall","PHI",451,499,20,183,NA,NA
"126","Isaiah","Hodgins","SFO",453,500,20,NA,NA,NA
"127","Treylon","Burks","TEN",456,501,20,NA,NA,NA
"128","Tyquan","Thornton","KCC",586,384,20,141.82,374.6,39.073923
"129","Justin","Watson","HOU",569,408,20,173.6,NA,35.864094
"130","Troy","Franklin","DEN",588,417,20,99.36,276.58,35.493444
"131","Ronnie","Bell","DET",461,506,20,189,NA,NA
"132","Cedrick","Wilson","NOS",552,453,20,162.13,321,26.664561
"133","Brandon","Powell","FA",469,512,20,NA,NA,NA
"134","KhaDarel","Hodge","ATL",491,505,20,137.29,364.25,5.515272
"135","JuJu","Smith-Schuster","KCC",511,497,20,132.47,350.82,14.062461
"136","Jonathan","Mingo","DAL",598,457,21,141.3,367.8,29.318415
"137","Jermaine","Burton","CIN",514,504,21,108.36,300.06,11.408607
"138","Trey","Palmer","TBB",534,503,21,181.2,NA,13.914201
"139","Trenton","Irwin","JAC",678,455,21,202,NA,34.0998
"140","Tim","Patrick","DET",570,496,21,103.59,290.29,21.164115
"141","Jalen","Royals","KCC",494,522,21,89.48,245.06,NA
"142","Isaac","TeSlaa","DET",499,524,21,93.84,256.03,NA
"143","Xavier","Gipson","NYJ",616,488,21,163.6,NA,26.405106
"144","Luke","McCaffrey","WAS",529,511,21,109.55,302.7,10.341135
"145","Malik","Washington","MIA",629,487,21,100.8,282.08,27.265014
"146","Donovan","Peoples-Jones","FA",501,528,21,166,NA,NA
"147","Russell","Gage","SFO",501,528,21,172.6,NA,NA
"148","Tyler","Johnson","NYJ",597,502,21,140.11,328.2,19.933557
"149","Jake","Bobo","SEA",507,527,21,146.47,367.2,1.445535
"150","Casey","Washington","ATL",503,529,21,162.43,333,NA
"151","Devaughn","Vele","NOS",681,494,21,92.5,259.05,27.717207
"152","Michael","Gallup","WAS",506,531,21,155.73,304,NA
"153","Jaylin","Lane","WAS",508,532,21,114.8,309.56,NA
"154","Arian","Smith","NYJ",513,535,21,135.2,357.42,NA
"155","Velus","Jones","NOS",516,536,21,159.5,NA,NA
"156","Savion","Williams","GBP",517,537,21,120.06,320.1,NA
"157","David","Bell","CLE",602,513,21,183.17,NA,16.90164
"158","Jha'Quan","Jackson","TEN",520,539,21,189.5,NA,NA
"159","Tylan","Wallace","BAL",538,530,21,166.25,368,3.965955
"160","Erik","Ezukanma","MIA",523,544,21,178.75,NA,NA
"161","Jamari","Thrash","CLE",524,545,21,139.24,332.11,NA
"162","Xavier","Restrepo","TEN",525,546,22,109.72,295.3,NA
"163","Lil'Jordan","Humphrey","NYG",620,514,22,184,NA,17.19816
"164",NA,NA,NA,530,549,22,NA,NA,NA
"165","Mack","Hollins","NEP",533,548,22,118.68,328.63,0.252042
"166","River","Cracraft","WAS",532,550,22,207,NA,NA
"167","Chris","Blair","ATL",536,554,22,168,NA,NA
"168","Byron","Pringle","FA",539,558,22,NA,NA,NA
"169","Chris","Conley","FA",542,559,22,NA,NA,NA
"170","Jamal","Agnew","ATL",560,542,22,NA,NA,5.092731
"171","Mecole","Hardman","GBP",647,521,22,167.2,NA,15.522822
"172","Allen","Robinson","FA",543,561,22,NA,NA,NA
"173","Ja'Lynn","Polk","NEP",545,563,22,NA,NA,NA
"174","Braxton","Berrios","HOU",682,517,22,214.67,NA,17.93946
"175","Parris","Campbell","FA",550,564,22,NA,NA,NA
"176","Chris","Moore","WAS",685,519,22,NA,NA,17.331594
"177","Kyle","Philips","FA",551,565,22,NA,NA,NA
"178","Sterling","Shepard","TBB",555,562,22,172.14,NA,1.452948
"179","Xavier","Hutchinson","HOU",572,555,22,142.6,328.4,3.884412
"180","Jalen","Brooks","DAL",617,533,22,167.8,NA,10.348548
"181","KeAndre","Lambert-Smith","LAC",556,571,22,112.28,297.47,NA
"182","Hunter","Renfrow","CAR",557,572,22,134,326.29,NA
"183","Dante","Pettis","NOS",600,552,22,NA,NA,6.293637
"184","Bo","Melton","GBP",561,574,22,193.25,NA,NA
"185","Malik","Heath","GBP",581,570,22,180.33,NA,1.986684
"186","Devontez","Walker","BAL",564,575,22,138.95,351.67,NA
"187","Quez","Watkins","FA",566,576,22,NA,NA,NA
"188","Johnny","Wilson","PHI",568,578,22,NA,NA,NA
"189","Isaiah","Williams","CIN",665,540,22,NA,NA,11.504976
"190","DJ","Turner","FA",571,580,22,NA,NA,NA
"191","Irvin","Charles","NYJ",573,583,22,NA,NA,NA
"192","Malachi","Corley","NYJ",694,534,22,147.53,334.4,13.906788
"193","Tyler","Scott","CHI",646,556,22,221,NA,8.539776
"194","Deonte","Harty","FA",579,586,22,NA,NA,NA
"195","Samori","Toure","CHI",580,587,22,NA,NA,NA
"196","Tommy","Mellott","LVR",582,590,22,60.33,NA,NA
"197","Tim","Jones","MIN",607,573,22,169.25,NA,3.647196
"198","Xavier","Weaver","ARI",583,592,22,207,NA,NA
"199","Steven","Sims","SEA",674,553,22,225.5,NA,9.78516
"200","Jamison","Crowder","FA",589,595,22,NA,NA,NA
"201","Tom","Kennedy","DET",591,596,22,201.33,NA,NA
"202","Ben","Skowronek","PIT",604,581,22,176.2,NA,2.461116
"203","DeAndre","Carter","CLE",669,560,22,166.2,301.5,8.947491
"204","Derius","Davis","LAC",608,585,22,163.25,381,2.327682
"205","John","Metchie","PHI",601,589,22,119.64,317.69,1.682751
"206","Charlie","Jones","CIN",619,579,22,162,NA,3.832521
"207","David","Moore","CAR",609,594,22,166.71,377.5,1.957032
"208","Scotty","Miller","PIT",637,582,23,159.2,NA,4.418148
"209","Marquise","Goodwin","FA",603,601,23,NA,NA,NA
"210","Simi","Fehoko","ARI",692,566,23,168.4,NA,9.392271
"211","Trent","Sherfield","DEN",670,577,23,174,NA,6.011943
"212","Maurice","Alexander","CHI",651,591,23,NA,NA,4.106802
"213","Tez","Johnson","TBB",613,605,23,116.55,306.24,NA
"214","Kendric","Pryor","CIN",614,606,23,NA,NA,NA
"215","Jordan","Watkins","SFO",615,607,23,137.96,345.7,NA
"216","Ashton","Dulin","IND",673,597,23,156.5,NA,4.581234
"217","Austin","Trammell","JAC",623,612,23,174,NA,NA
"218","Dax","Milne","FA",625,613,23,NA,NA,NA
"219","Bryce","Oliver","TEN",626,614,23,NA,NA,NA
"220","Cody","White","SEA",628,615,23,NA,NA,NA
"221",NA,NA,NA,630,616,23,NA,NA,NA
"222","Devin","Duvernay","CHI",660,604,23,197,NA,2.134944
"223","Brycen","Tremayne","CAR",640,621,23,199.5,NA,NA
"224","Ihmir","Smith-Marsette","NYG",695,598,23,185.33,NA,6.22692
"225","Kristian","Wilkerson","BUF",642,623,23,NA,NA,NA
"226","Rakim","Jarrett","TBB",644,624,23,193.67,NA,NA
"227","Ainias","Smith","PHI",645,625,23,174.4,NA,NA
"228","Bryce","Ford-Wheaton","NYG",648,627,23,NA,NA,NA
