"","pos","name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"371","WR","Kayshon Boutte","NEP",522,514,7,106.15,285.17,0.956277
"372","WR","Kirk Merritt","NOS",503,522,7,202,NA,NA
"373","WR","Cade Johnson","FA",537,515,7,NA,NA,1.193493
"374","WR","Dareke Young","SEA",532,517,7,180.57,NA,1.008168
"375","WR","Ronnie Bell","SFO",527,519,7,180.13,NA,0.704235
"376","WR","Miles Boykin","PIT",536,518,7,182.79,NA,1.008168
"377","WR","Derius Davis","LAC",530,521,7,162.54,360.67,0.674583
"378","WR","Michael Bandy","FA",519,523,7,209.8,NA,NA
"379","WR","Cody White","FA",519,523,7,NA,NA,NA
"380","WR","Jason Brownlee","NYJ",521,524,7,146.11,356.2,NA
"381","WR","Maurice Alexander","FA",524,525,7,NA,NA,NA
"382","WR","Tre Tucker","LVR",529,527,7,152,376.43,NA
"383","WR","Colton Dowell","TEN",531,528,7,186,NA,0
"384","WR","Erik Ezukanma","MIA",542,526,7,160.23,371.25,0.266868
"385","WR","A.T. Perry","NOS",539,529,7,121.57,317.28,NA
"386","WR","Parker Washington","JAC",540,530,7,143.33,365.13,NA
"387","WR","Ihmir Smith-Marsette","CAR",540,530,7,168.42,344.5,NA
"388","WR","Josh Ali","ATL",541,531,7,187,NA,NA
"389","WR","Andy Isabella","FA",544,532,7,179.8,NA,NA
"390","WR","Jaelon Darden","FA",544,532,7,214.25,NA,NA
"391","WR","Collin Johnson","FA",544,532,7,NA,NA,NA
"392","WR","Lance McCutcheon","FA",546,533,7,187,NA,NA
"393","WR","Stanley Morgan","FA",549,534,7,227.67,NA,NA
"394","WR","James Washington","FA",549,534,7,NA,NA,NA
"395","WR","Trent Taylor","CHI",551,535,7,178.5,NA,NA
"396","QB","Mac Jones","NEP",285,288,8,28.1,234.2,20.074404
"397","QB","Ryan Tannehill","TEN",309,263,8,25.78,203.7,48.392064
"398","QB","Matthew Stafford","LAR",292,253,8,21.5,162.56,65.471616
"399","DST","Houston Texans","HOU",181,159,8,28.39,308.38,38.10282
"400","DST","Baltimore Ravens","BAL",165,134,8,8,195.15,51.00144
"401","DST","Los Angeles Chargers","LAC",172,162,8,17.02,241.09,38.39934
"402","DST","Cincinnati Bengals","CIN",154,178,8,14.11,222.56,27.13158
"403","DST","New York Giants","NYG",176,180,8,22.67,296.69,25.9455
"404","DST","Miami Dolphins","MIA",188,164,8,12.78,220.44,41.66106
"405","TE","Cade Otton","TBB",216,196,8,31.35,275.37,13.63992
"406","TE","Sam LaPorta","DET",256,132,8,18.52,173.55,60.727296
"407","TE","Hayden Hurst","CAR",236,183,8,26.71,242.87,33.21024
"408","TE","Luke Schoonmaker","DAL",294,135,8,43.8,338.41,61.765116
"409","TE","Foster Moreau","NOS",156,228,8,44.59,341.78,1.77912
"410","TE","Logan Thomas","WAS",234,227,8,33.85,292.71,3.85476
"411","TE","Austin Hooper","LVR",269,185,8,38.19,314.7,42.9954
"412","TE","Luke Musgrave","GBP",267,172,8,25.92,234.91,53.885097
"413","RB","Jonathan Williams","WAS",38,451,8,NA,NA,NA
"414","RB","Ke'Shawn Vaughn","TBB",447,426,8,87.77,303.75,4.74431999999999
"415","RB","Michael Carter","NYJ",489,337,8,71.78,243.61,27.042624
"416","RB","Raheem Blackshear","CAR",467,419,8,94.35,327.77,19.12554
"417","RB","Ameer Abdullah","LVR",490,371,8,101.61,346.5,32.676504
"418","RB","Pierre Strong Jr.","CLE",214,428,8,NA,NA,17.7912
"419","RB","Boston Scott","PHI",481,418,8,80.02,278.34,24.75942
"420","RB","Craig Reynolds","DET",488,416,8,100.73,335.33,34.39632
"421","RB","Melvin Gordon","FA",520,421,8,96.04,327.01,34.144278
"422","RB","Kyle Juszczyk","SFO",486,442,8,107.52,343,11.8608
"423","RB","Zonovan Knight","FA",99,482,8,87.27,303.53,NA
"424","RB","Royce Freeman","FA",107,487,8,132.5,NA,NA
"425","RB","Kene Nwangwu","MIN",474,431,8,95.44,332.5,27.064863
"426","RB","Dare Ogunbowale","HOU",504,444,8,119.31,343.75,21.4977
"427","RB","Travis Homer","CHI",507,468,8,114.83,357.5,8.45082
"428","RB","DeeJay Dallas","SEA",506,448,8,97.52,339.16,23.988468
"429","RB","Justice Hill","BAL",510,470,8,91.02,312.5,6.22692
"430","RB","C.J. Ham","MIN",528,466,8,127.54,379.67,12.15732
"431","RB","Jermar Jefferson","FA",250,536,8,121.75,NA,NA
"432","RB","Ty Johnson","FA",560,464,8,115,348.63,20.556249
"433","RB","Ronald Jones","DAL",371,494,8,86.54,300.86,9.56277
"434","RB","Salvon Ahmed","MIA",556,483,8,92.92,320.04,8.59908
"435","RB","Brandon Bolden","LVR",525,498,8,110.28,363.54,3.26172
"436","RB","Zander Horvath","FA",281,540,8,136.56,NA,NA
"437","RB","J.J. Taylor","FA",296,542,8,129.2,357,NA
"438","RB","Gary Brightwell","NYG",548,481,8,112.85,372.33,15.71556
"439","RB","Patrick Taylor","FA",298,543,8,122.89,328.67,NA
"440","RB","Anthony McFarland","PIT",553,484,8,109.52,341.14,16.056558
"441","RB","Julius Chestnut","TEN",552,492,8,108.16,349.92,12.15732
"442","RB","Chris Rodriguez","WAS",511,495,8,93.31,324.59,13.980918
"443","RB","Ty Montgomery","NEP",543,490,8,109.97,347.39,14.937195
"444","QB","Desmond Ridder","ATL",328,307,9,29.59,254.48,23.365776
"445","DST","New Orleans Saints","NOS",178,150,9,11.22,208.65,50.26014
"446","DST","Washington Commanders","WAS",171,157,9,14.45,232.67,51.00144
"447","DST","Pittsburgh Steelers","PIT",187,138,9,10.87,211.8,61.23138
"448","DST","Denver Broncos","DEN",173,200,9,10.2,201.48,20.7564
"449","DST","Los Angeles Rams","LAR",185,193,9,23.61,283.38,29.35548
"450","TE","Dalton Kincaid","BUF",261,176,9,14.66,150.51,52.973298
"451","TE","Isaiah Likely","BAL",278,245,9,31.95,277.4,6.07866
"452","TE","C.J. Uzomah","NYJ",291,239,9,51.28,354.47,9.6369
"453","TE","Brock Wright","DET",300,223,9,55.32,361.31,27.27984
"454","TE","Durham Smythe","MIA",198,217,9,45.36,337.03,34.233234
"455","TE","Jelani Woods","IND",244,256,9,31.36,271.48,1.77912
"456","TE","Robert Tonyan","CHI",311,240,9,43.21,338.19,24.16638
"457","TE","Trey McBride","ARI",303,219,9,27.94,249.2,36.10131
"458","TE","Noah Gray","KCC",252,257,9,44.24,345.07,16.90164
"459","TE","Jonnu Smith","ATL",304,273,9,43.97,340.33,3.85476
"460","TE","Teagan Quitoriano","HOU",322,280,9,67.9,355,2.81694
"461","TE","Mo Alie-Cox","IND",305,281,9,49.42,353.6,6.81996
"462","TE","Donald Parham","LAC",313,265,9,44.64,346.12,18.97728
"463","RB","Alec Ingold","MIA",562,501,9,121.94,357.8,14.092113
"464","RB","Corey Clement","FA",373,549,9,105.24,342.43,NA
"465","RB","Kendre Miller","NOS",456,544,9,54.08,157.48,5.055666
"466","RB","Devon Achane","MIA",452,545,9,46.31,128.97,4.37367
"467","RB","Chris Evans","CIN",563,513,9,82.69,285.01,8.050518
"468","RB","Sony Michel","FA",377,550,9,NA,NA,NA
"469","RB","Isaiah Spiller","LAC",515,537,9,73.16,250.62,8.67321
"470","RB","Snoop Conner","FA",391,551,9,129.91,NA,NA
"471","RB","Spencer Brown","FA",394,553,9,133,NA,NA
"472","RB","Myles Gaskin","MIN",558,538,9,97.61,332.07,9.155055
"473","RB","Benny Snell","FA",398,554,9,NA,NA,NA
"474","RB","D'Ernest Johnson","JAC",581,479,9,83.13,285.88,2.505594
"475","RB","Tyrion Davis-Price","SFO",566,539,9,87.35,306.14,9.585009
"476","RB","Reggie Gilliam","BUF",569,541,9,133,NA,9.533118
"477","RB","Trestan Ebner","FA",439,556,9,131.73,NA,NA
"478","RB","Deuce Vaughn","DAL",502,548,9,71.85,240.54,4.766559
"479","RB","Larry Rountree","FA",449,557,9,NA,NA,NA
"480","RB","Emanuel Wilson","GBP",449,557,9,110.1,359.2,NA
"481","RB","Tony Jones","FA",568,546,9,116.63,344,6.901503
"482","RB","Patrick Ricard","BAL",571,547,9,128.33,347.5,6.530853
"483","RB","Zach Evans","LAR",547,552,9,73.86,252.45,4.551582
"484","RB","Dwayne Washington","FA",463,563,9,137,NA,NA
"485","RB","Jaleel McLaughlin","DEN",561,555,9,102.58,336.71,4.329192
"486","RB","Emari Demercado","ARI",550,559,9,110.36,357,2.779875
"487","RB","Mike Boone","HOU",570,558,9,106.67,356.56,3.788043
"488","RB","Chase Brown","CIN",554,564,9,72.51,246.04,1.971858
"489","RB","Evan Hull","IND",564,562,9,68.74,226.59,2.498181
"490","RB","Demetric Felton","FA",575,560,9,119.08,349.8,3.92889
"491","RB","Demetric Felton","FA",575,560,9,146.2,349.8,3.92889
"492","RB","Keith Smith","ATL",576,561,9,132.33,NA,3.624957
"493","RB","Jake Funk","FA",517,567,9,NA,NA,NA
"494","RB","Ronnie Rivers","LAR",578,565,9,111.86,352.25,3.11346
"495","RB","Roschon Johnson","CHI",538,568,9,51.44,147.24,0.207564
"496","RB","Godwin Igwebuike","FA",545,569,9,141,NA,NA
"497","RB","Chris Brooks","MIA",557,570,9,111.33,351.8,NA
"498","RB","Adam Prentice","NOS",580,566,9,135.17,NA,2.031162
"499","RB","John Kelly","FA",559,571,9,130.75,NA,NA
"500","RB","Deneric Prince","FA",565,573,9,94.06,312.5,NA
"501","RB","Andrew Beck","HOU",567,576,9,103.8,NA,NA
"502","RB","Keaton Mitchell","BAL",574,572,9,110.74,348.91,0.800604
"503","RB","Michael Burton","DEN",579,574,9,132.11,NA,0.704235
"504","RB","Tyler Badie","FA",572,579,9,118.69,340,NA
"505","RB","Jakob Johnson","LVR",585,575,9,133.82,NA,0.748713
"506","RB","Sean Tucker","TBB",586,577,9,78.97,268.5,0.770952
"507","RB","Kirk Merritt","NOS",577,580,9,202,NA,0.140847
"508","RB","Nick Bellore","SEA",587,578,9,NA,NA,0.585627
"509","RB","Eric Gray","NYG",573,582,9,89.64,310.63,NA
"510","RB","Kenny McIntosh","SEA",582,581,9,98.12,329.62,0.207564
"511","RB","Giovanni Ricci","CAR",583,583,9,91.9,NA,NA
"512","RB","Jason Cabinda","DET",584,584,9,NA,NA,NA
"513","RB","Avery Williams","ATL",588,586,9,126,384,NA
"514","RB","Khari Blasingame","CHI",589,587,9,134,NA,NA
"515","RB","Hunter Luepke","DAL",590,588,9,118.2,NA,NA
"516","RB","Ty'Son Williams","FA",590,588,9,126.6,NA,NA
"517","RB","Israel Abanikanda","NYJ",592,585,9,78.36,266.41,0.133434
"518","RB","Nick Bawden","NYJ",591,589,9,150.67,NA,NA
"519","QB","Anthony Richardson","IND",385,234,10,14.06,110.64,161.9458806
"520","DST","New York Jets","NYJ",166,202,10,6.14,188.96,21.34944
"521","DST","Arizona Cardinals","ARI",186,242,10,28.24,308.55,6.37518000000002
"522","DST","Carolina Panthers","CAR",197,230,10,21.39,284.47,19.2738
"523","DST","Minnesota Vikings","MIN",183,211,10,26.11,317.52,41.36454
"524","TE","Tommy Tremble","CAR",310,286,10,63.63,355.5,3.40998
"525","TE","Kylen Granson","IND",308,292,10,50.22,354.63,4.00302
"526","TE","Will Dissly","SEA",314,254,10,45.79,345.98,32.32068
"527","TE","Daniel Bellinger","NYG",229,276,10,40.08,322.52,20.845356
"528","TE","Colby Parkinson","SEA",325,284,10,58.39,359.78,16.90164
"529","TE","Josiah Deguara","GBP",326,299,10,71.59,NA,6.6717
"530","TE","Adam Trautman","DEN",319,294,10,40.34,323.33,12.6021
"531","TE","Ian Thomas","CAR",324,310,10,73.9,NA,0.444780000000001
"532","TE","Jordan Akins","CLE",334,279,10,54.88,361.18,26.879538
"533","TE","Harrison Bryant","CLE",315,311,10,54.55,362.79,1.03782
"534","TE","MyCole Pruitt","ATL",358,278,10,91.4,NA,29.592696
"535","TE","John Bates","WAS",351,283,10,73.18,NA,27.383622
"536","TE","Josh Oliver","MIN",355,260,10,58,362.43,17.465028
"537","TE","Peyton Hendershot","DAL",144,322,10,56.38,368.54,8.176539
"538","TE","Julian Hill","MIA",69,339,10,72,377.5,NA
"539","TE","Connor Heyward","PIT",337,305,10,81.42,NA,18.23598
"540","TE","James Mitchell","DET",357,325,10,68.92,361,5.9304
"541","TE","Trevon Wesco","TEN",354,306,10,86.2,370.5,20.786052
"542","QB","Bryce Young","CAR",483,317,11,25.3,195.32,143.2102644
"543","DST","Tampa Bay Buccaneers","TBB",207,194,11,17.71,235.15,59.00748
"544","TE","Ko Kieft","TBB",346,313,11,81.27,NA,16.75338
"545","TE","Parker Hesse","FA",103,350,11,105.4,NA,NA
"546","TE","Blake Bell","KCC",321,314,11,82.55,NA,16.82751
"547","TE","Jack Stoll","PHI",367,315,11,78.94,NA,16.45686
"548","TE","Jimmy Graham","NOS",352,304,11,68.29,374.2,15.19665
"549","TE","Darnell Washington","PIT",307,324,11,46.37,348.33,14.536893
"550","TE","Zach Gentry","FA",135,357,11,100.83,NA,NA
"551","TE","Marcedes Lewis","CHI",372,328,11,94,NA,7.85778
"552","TE","Luke Farrell","JAC",368,338,11,89,NA,2.81694
"553","TE","Brycen Hopkins","LAR",360,331,11,74,361,6.52344
"554","TE","Michael Mayer","LVR",336,327,11,29.28,261.84,14.45535
"555","TE","Johnny Mundt","MIN",369,336,11,83.23,NA,7.26474
"556","TE","Anthony Firkser","FA",167,360,11,NA,NA,NA
"557","TE","Brevin Jordan","HOU",374,319,11,55.38,353.64,13.106184
"558","TE","Tre' McKitty","LAC",364,342,11,73.35,NA,5.33736
"559","TE","Kendall Blanton","FA",209,366,11,107.25,NA,NA
"560","TE","Tanner Hudson","FA",233,367,11,104.8,NA,NA
"561","TE","Eric Tomlinson","FA",238,368,11,113,NA,NA
"562","TE","Drew Sample","CIN",388,344,11,77.23,NA,11.579106
"563","TE","Mitchell Wilcox","CIN",392,347,11,91,NA,11.905278
"564","TE","Albert Okwuegbunam","PHI",389,348,11,48.23,335.77,11.312238
"565","TE","Tucker Kraft","GBP",359,352,11,48.15,346.77,9.955659
"566","TE","Andrew Ogletree","IND",387,353,11,107.5,NA,10.630242
"567","TE","Lucas Krull","FA",266,373,11,NA,NA,NA
"568","TE","Ross Dwelley","SFO",413,318,11,80.54,NA,0.59304
"569","TE","Geoff Swaim","ARI",382,361,11,95.27,NA,5.9304
"570","TE","John FitzPatrick","ATL",397,356,11,97.5,NA,10.244766
"571","TE","Charlie Kolar","BAL",393,349,11,78,362.5,6.716178
"572","TE","Giovanni Ricci","CAR",401,359,11,91.9,NA,9.332967
"573","TE","Pharaoh Brown","FA",280,376,11,104.6,NA,NA
"574","TE","Jeremy Ruckert","NYJ",408,343,11,62.06,354,4.121628
"575","TE","Chris Manhertz","DEN",399,354,11,85,NA,5.752488
"576","TE","Stephen Sullivan","CAR",416,335,11,107.25,NA,1.452948
"577","TE","Dan Arnold","FA",295,378,11,87.83,NA,NA
"578","TE","Quintin Morris","BUF",406,358,11,80.23,NA,5.85627
"579","QB","C.J. Stroud","HOU",555,400,12,27.89,229.47,124.4464788
"580","DST","Tennessee Titans","TEN",206,225,12,23.03,297.91,32.6172
"581","DST","Atlanta Falcons","ATL",221,237,12,27.36,302.57,38.84412
"582","TE","Charlie Woerner","SFO",404,365,12,97.8,NA,7.976388
"583","TE","Lawrence Cager","NYG",414,355,12,145.5,359.5,0.44478
"584","TE","Jesper Horsted","LVR",431,351,12,89.6,NA,0.29652
"585","TE","Hunter Long","LAR",376,377,12,70.35,NA,3.721326
"586","TE","Brenton Strange","JAC",379,385,12,61.53,373.5,2.290617
"587","TE","Sean McKeon","FA",347,388,12,116.8,NA,NA
"588","TE","Tyree Jackson","FA",350,389,12,117.5,NA,NA
"589","TE","Josh Whyle","TEN",403,387,12,75.33,NA,2.505594
"590","TE","Eric Saubert","MIA",375,393,12,94.86,NA,NA
"591","TE","Ben Ellefson","FA",378,394,12,NA,NA,NA
"592","TE","David Wells","TBB",422,390,12,90.8,NA,1.882902
"593","TE","Kenny Yeboah","NYJ",402,401,12,98,NA,NA
"594","TE","Grant Calcaterra","PHI",423,398,12,75.5,368,0.733887
"595","TE","Andrew Beck","HOU",410,402,12,103.8,NA,NA
"596","TE","Kaden Smith","WAS",414,403,12,NA,NA,NA
"597","TE","Davis Allen","LAR",415,404,12,106,NA,NA
"598","TE","Payne Durham","TBB",417,405,12,81.79,348,NA
"599","TE","Mason Schreck","FA",417,405,12,117,NA,NA
"600","TE","Tyler Davis","GBP",418,406,12,NA,NA,NA
"601","TE","Cole Turner","WAS",419,407,12,44.04,318.65,NA
"602","TE","Tyler Kroft","MIA",421,408,12,59.6,355,NA
"603","TE","Armani Rogers","WAS",421,408,12,98.6,NA,NA
"604","TE","Stone Smartt","LAC",426,409,12,94.6,NA,0.07413
"605","TE","Jody Fortson","KCC",424,411,12,79.67,NA,NA
"606","TE","Brayden Willis","SFO",424,411,12,106.6,NA,NA
"607","TE","Shane Zylstra","DET",425,412,12,92.6,NA,NA
"608","TE","Zack Kuntz","FA",428,413,12,80.89,NA,NA
"609","TE","Tommy Sweeney","NYG",428,413,12,103,NA,NA
"610","TE","Reggie Gilliam","BUF",428,413,12,133,NA,NA
"611","TE","Jared Pinkney","FA",428,413,12,NA,NA,NA
"612","TE","Jake Tonges","FA",428,413,12,NA,NA,NA
"613","TE","Will Mallory","IND",432,410,12,85.2,NA,0.140847
"614","TE","Feleipe Franks","ATL",429,414,12,67.8,NA,NA
"615","DST","Las Vegas Raiders","LVR",227,267,13,30.7,296,16.60512
"616","DST","Chicago Bears","CHI",257,241,13,28.88,315.6,57.67314
"617","QB","Bailey Zappe","FA",120,602,13,49.84,379.13,NA
"618","QB","Gardner Minshew","IND",620,591,13,40.09,360.55,7.383348
"619","QB","Mitchell Trubisky","PIT",595,596,13,NA,NA,35.686182
"620","QB","Tyler Huntley","BAL",610,593,13,43.42,358.4,13.8445188
"621","QB","Davis Mills","HOU",613,594,13,50.16,394,11.9378952
"622","QB","Trey Lance","DAL",607,595,13,38.88,326.45,14.3486028
"623","QB","Zach Wilson","NYJ",599,598,14,49.31,355.2,33.5097252
"624","QB","Sam Darnold","SFO",600,601,14,37.59,346.93,21.3968832
"625","QB","Marcus Mariota","PHI",604,599,14,50.23,NA,19.0454796
"626","QB","Teddy Bridgewater","DET",605,600,14,53.62,NA,19.0603056
"627","QB","Colt McCoy","FA",594,610,14,41.03,342.53,NA
"628","QB","Andy Dalton","CAR",612,597,14,46.15,342.2,12.5902392
"629","QB","Jameis Winston","NOS",606,603,14,44.11,353.63,17.8742256
"630","QB","Taylor Heinicke","ATL",602,606,14,39.64,355.89,22.268652
"631","QB","Joshua Dobbs","ARI",598,604,14,38.63,331.71,11.1610128
"632","QB","Mike White","MIA",601,608,14,39.96,357.48,3.7065
"633","QB","Brian Hoyer","LVR",623,605,14,52.72,359.2,6.8555424
"634","QB","Tyrod Taylor","NYG",608,611,14,53.52,NA,7.472304
"635","QB","Jake Browning","CIN",596,615,14,64.56,NA,NA
"636","QB","Nick Mullens","MIN",617,607,14,60.56,NA,10.3544784
"637","QB","Cooper Rush","DAL",616,609,14,58.72,NA,11.9912688
"638","QB","Jacoby Brissett","WAS",611,612,14,35.2,334.56,11.000892
"639","QB","Sam Ehlinger","IND",597,622,14,76.92,NA,NA
"640","QB","Jarrett Stidham","DEN",619,613,14,45.6,373.67,6.7695516
"641","QB","Matt Corral","NEP",609,618,15,74.21,NA,5.767314
"642","QB","Sean Clifford","GBP",618,620,15,59.67,NA,5.3432904
"643","QB","Kyle Trask","TBB",614,616,15,36.31,338.01,2.8584528
"644","QB","Blaine Gabbert","KCC",624,614,15,61.95,NA,1.8058068
"645","QB","Drew Lock","SEA",630,617,15,57.64,NA,1.275036
"646","QB","Kyle Allen","BUF",625,619,15,59.96,NA,1.008168
"647","QB","Easton Stick","LAC",621,624,15,63.59,NA,1.9066236
"648","QB","Mason Rudolph","PIT",603,626,15,77.8,NA,NA
"649","QB","Stetson Bennett","LAR",622,625,15,51.56,256,1.5804516
"650","QB","Malik Willis","TEN",638,623,15,50.69,361.75,0.578214
"651","QB","Dorian Thompson-Robinson","CLE",615,627,15,57.71,356.33,NA
"652","QB","C.J. Beathard","JAC",639,621,15,61.09,NA,8.6079756
"653","QB","Chris Streveler","FA",626,628,15,NA,NA,NA
"654","QB","Josh Johnson","BAL",627,629,15,96,NA,NA
"655","QB","P.J. Walker","FA",628,630,15,68.92,NA,NA
"656","QB","John Wolford","FA",629,631,15,78.89,NA,NA
"657","QB","Logan Woodside","ATL",631,632,15,76.67,NA,NA
"658","QB","Brandon Allen","SFO",632,633,15,75.8,NA,NA
"659","QB","Clayton Tune","ARI",633,634,15,39.48,338.94,NA
"660","QB","Trevor Siemian","FA",634,635,15,62.5,NA,NA
"661","QB","David Blough","FA",635,636,15,76.8,NA,NA
"662","QB","Will Levis","TEN",636,637,15,40.95,341.44,NA
"663","QB","Ben DiNucci","FA",637,638,15,80.33,NA,NA
