"","pos","name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"27","RB","Saquon Barkley","NYG",37,15,2,6.56,13.97,31.8759
"28","RB","Alvin Kamara","NOS",5,88,2,28.4,74.27,14.52948
"29","WR","Christian Watson","GBP",59,26,2,20.3,44.66,33.95154
"30","WR","Amon-Ra St. Brown","DET",54,36,2,8.34,16.81,24.0181199999999
"31","WR","Deebo Samuel","SFO",66,22,2,16.67,35.59,57.67314
"32","TE","Taysom Hill","NOS",9,29,2,20.32,183.21,19.12554
"33","WR","Garrett Wilson","NYJ",56,42,2,9.26,18.38,9.34038000000002
"34","WR","Jaylen Waddle","MIA",61,32,2,10.92,21.19,41.21628
"35","K","Younghoe Koo","ATL",111,107,2,7.02,215.96,7.51381680000002
"36","K","Cade York","FA",8,236,2,26.42,314.57,NA
"37","K","Cameron Dicker","LAC",121,114,2,17.86,278.26,2.04598800000004
"38","K","Tyler Bass","BUF",132,103,2,3.45,182.21,17.1996426
"39","K","Jake Elliott","PHI",138,101,2,9.49,228,19.303452
"40","WR","Amari Cooper","CLE",67,43,2,16.23,34.58,23.57334
"41","K","Caleb Shudak","FA",10,248,2,33.58,329.5,NA
"42","WR","Tee Higgins","CIN",72,38,2,14.55,30.42,42.9954
"43","WR","Calvin Ridley","JAC",73,38,2,17.55,38.11,45.9606
"44","K","Riley Patterson","DET",153,97,2,18.28,282.9,34.0375308
"45","WR","D.J. Moore","CHI",76,54,2,19.39,42.55,16.16034
"46","K","Chris Boswell","PIT",170,89,2,18.84,282.07,51.5826192
"47","K","Jason Myers","SEA",130,123,2,9.62,230.11,20.074404
"48","WR","DeVonta Smith","PHI",75,53,2,15.63,33.42,26.0937599999999
"49","K","Greg Joseph","MIN",146,116,2,13.52,249.73,24.7268028
"50","K","Brandon McManus","JAC",141,122,2,10.04,227.6,25.4384508
"51","K","Greg Zuerlein","NYJ",150,161,2,13,251.23,2.29654740000001
"52","K","Matthew Wright","FA",11,259,2,36,NA,NA
"53","K","Graham Gano","NYG",158,113,2,13.84,248.34,32.2895454
"54","K","Jason Sanders","MIA",157,147,2,8.77,221.49,13.8682404
"55","WR","Chris Olave","NOS",70,62,2,12.54,25.04,26.2420199999999
"56","DST","New England Patriots","NEP",102,92,2,6.46,189.74,17.64294
"57","WR","DK Metcalf","SEA",68,47,2,17.17,37.57,51.74274
"58","WR","Mike Evans","TBB",89,41,2,30.05,66.74,63.45528
"59","K","Eddy Pineiro","CAR",179,143,2,25.03,315.65,29.5763874
"60","WR","DeAndre Hopkins","TEN",98,77,2,24.89,55.14,16.7533799999999
"61","K","Wil Lutz","DEN",168,188,2,16.05,260.79,4.43445660000002
"62","TE","George Kittle","SFO",63,21,2,4.89,77.31,36.76848
"63","WR","Christian Kirk","JAC",95,74,2,29.87,66.45,25.2042
"64","K","Matt Gay","IND",192,146,2,16.57,248.75,35.2028544
"65","K","Ka'imi Fairbairn","HOU",193,201,2,24.48,305.46,6.2654676
"66","K","Joey Slye","WAS",208,158,2,26.92,317.58,45.2622954
"67","K","Brett Maher","FA",205,151,2,24.32,304.78,51.2505168
"68","K","Chase McLaughlin","TBB",203,170,2,28.25,317.96,39.0324102
"69","K","Dustin Hopkins","CLE",199,195,2,19.08,282.63,20.8616646
"70","K","Cairo Santos","CHI",191,209,2,22.38,300.63,13.091358
"71","K","Matt Prater","ARI",248,148,2,22.36,270.65,58.0037598
"72","QB","Josh Allen","BUF",35,3,3,2.41,27.96,73.448004
"73","QB","Joe Burrow","CIN",50,25,3,5.52,43.05,44.240784
